collect_time,station_id,station_name,temperature,humidity,pressure,wind_speed,wind_direction,weather_code,sample_seq
2026-06-22T23:59:35.577+08:00,tangshan,唐山,26.0,41.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:36.840+08:00,tangshan,唐山,26.0,40.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:38.558+08:00,tangshan,唐山,26.0,39.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:39.789+08:00,tangshan,唐山,26.0,38.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:42.263+08:00,tangshan,唐山,26.0,38.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:42.762+08:00,tangshan,唐山,26.0,37.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:43.923+08:00,tangshan,唐山,26.0,37.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:45.225+08:00,tangshan,唐山,26.0,36.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:48.351+08:00,tangshan,唐山,26.0,36.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:48.570+08:00,tangshan,唐山,26.0,35.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:49.403+08:00,tangshan,唐山,26.0,35.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:54.317+08:00,tangshan,唐山,26.0,35.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:54.522+08:00,tangshan,唐山,26.0,34.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:55.557+08:00,tangshan,唐山,26.0,34.0,1000.3,2.83,159.0,3,
2026-06-22T23:59:59.491+08:00,tangshan,唐山,26.0,34.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:00.755+08:00,tangshan,唐山,26.0,33.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:02.030+08:00,tangshan,唐山,26.0,33.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:03.852+08:00,tangshan,唐山,26.0,33.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:05.029+08:00,tangshan,唐山,26.0,33.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:06.300+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:07.718+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:08.983+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:10.271+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:11.728+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
